Prestazione,Vento,Atleta,Anno,Categoria,Società,Posizione,Luogo,Data,Link Atleta,Link Società
29:51.27,,GIOFRE' Michele,1976,SM,ATL. CASTELLO,8 su- 1,Vigna Di Valle,2005-05-22,https://www.fidal.it/atleta/GIOFRE-Michele/hqiRkpOhcGc%3D,https://www.fidal.it/societa/ATL--CASTELLO/FI021
29:54.0,,BONA Francesco,1983,PM,C.S. AERONAUTICA MILITARE,6 se- 1,Roma,2005-04-24,https://www.fidal.it/atleta/BONA-Francesco/dKAAARk5afaGQ%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
29:54.28,,SIMIONATO Federico,1979,SM,C.S. AERONAUTICA MILITARE,9 su- 1,Vigna Di Valle,2005-05-22,https://www.fidal.it/atleta/SIMIONATO-Federico/dK6Rk5qicWs%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
29:56.3,,PETREI Antonello,1972,SM,U.S. DILETTANT. ATERNO PESCARA,1 se- 2,Osimo,2005-04-24,https://www.fidal.it/atleta/PETREI-Antonello/gaiRkpilamM%3D,https://www.fidal.it/societa/U-S--DILETTANT--ATERNO-PESCARA/PE001
29:59.08,,ROTONDO Nicolo',1978,SM,C.S. CARABINIERI SEZ. ATLETICA,7 se- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/ROTONDO-Nicolo-/hKiRkpOlb2U%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
30:04.85,,BONA Francesco,1983,PM,C.S. AERONAUTICA MILITARE,10 su- 1,Vigna Di Valle,2005-05-22,https://www.fidal.it/atleta/BONA-Francesco/dKAAARk5afaGQ%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
30:07.15,,CREPALDI Gianni,1968,SM35,C.S. CARABINIERI SEZ. ATLETICA,8 se- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/CREPALDI-Gianni/eqiRkpehaWU%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
30:09.83,,PASETTO Gianluca,1970,SM35,CALCESTRUZZI CORRADINI EXCELS.,9 se- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/PASETTO-Gianluca/eKiRkpSoaWY%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106
30:12.14,,BONA Francesco,1983,PM,C.S. AERONAUTICA MILITARE,8 su- 1,Erfurt,2005-07-15,https://www.fidal.it/atleta/BONA-Francesco/dKAAARk5afaGQ%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
30:13.56,,FINESSO Paolo,1975,SM,GINNASTICA COMENSE 1872,1 se- 2,Brescia,2005-05-07,https://www.fidal.it/atleta/FINESSO-Paolo/dquRkpOicWU%3D,https://www.fidal.it/societa/GINNASTICA-COMENSE-1872/CO013
30:13.8,,LIUZZO Antonino,1979,SM,C.S. AERONAUTICA MILITARE,7 se- 1,Roma,2005-04-24,https://www.fidal.it/atleta/LIUZZO-Antonino/h6iRkpWobWw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
30:13.83,,PETREI Antonello,1972,SM,U.S. DILETTANT. ATERNO PESCARA,11 su- 1,Vigna Di Valle,2005-05-22,https://www.fidal.it/atleta/PETREI-Antonello/gaiRkpilamM%3D,https://www.fidal.it/societa/U-S--DILETTANT--ATERNO-PESCARA/PE001
30:14.3,,ROMANO Marco,1976,SM,COLLEFERRO ATLETICA,8 se- 1,Roma,2005-04-24,https://www.fidal.it/atleta/ROMANO-Marco/f6iRkpShcWY%3D,https://www.fidal.it/societa/COLLEFERRO-ATLETICA/RS012
30:17.98,,D'AMBROSIO Domenico,1975,SM,C.S. CARABINIERI SEZ. ATLETICA,10 se- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/D-AMBROSIO-Domenico/gKiRkpShaGQ%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
30:18.8,,CANNATA Lorenzo,1980,SM,C.S. AERONAUTICA MILITARE,9 se- 1,Roma,2005-04-24,https://www.fidal.it/atleta/CANNATA-Lorenzo/h6iRk5uibmo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
30:21.04,,DELLA PIETRA Lorenzo,1969,SM35,A.S.D. CARNIATLETICA,1 su- 1,Treviso,2005-04-23,https://www.fidal.it/atleta/DELLA-PIETRA-Lorenzo/eayRkpehaWQ%3D,https://www.fidal.it/societa/A-S-D--CARNIATLETICA/UD093
30:22.71,,BATTELLI Paolo,1975,SM,CALCESTRUZZI CORRADINI EXCELS.,11 se- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/BATTELLI-Paolo/faiRlJaocGo%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106
30:23.95,,MONTORIO Alberto,1983,PM,C.S. AERONAUTICA MILITARE,9 su- 1,Erfurt,2005-07-15,https://www.fidal.it/atleta/MONTORIO-Alberto/dqiRlJujaWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
30:28.03,,SORGATO Andrea,1981,SM,ASSINDUSTRIA SPORT PD,2 su- 1,Treviso,2005-04-23,https://www.fidal.it/atleta/SORGATO-Andrea/eKiRlJKobGc%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PD/PD140
30:28.30,,GIOFRE' Michele,1976,SM,ATL. CASTELLO,2 se- 1,Lucca,2005-04-24,https://www.fidal.it/atleta/GIOFRE-Michele/hqiRkpOhcGc%3D,https://www.fidal.it/societa/ATL--CASTELLO/FI021
30:31.4,,LALLI Andrea,1987,JM,CUS MOLISE,1 se- 2,Avellino,2005-04-24,https://www.fidal.it/atleta/LALLI-Andrea/g6iRkpafaWw%3D,https://www.fidal.it/societa/CUS-MOLISE/CB001
30:33.1,,GAETA Cristian,1982,SM,C.S. ESERCITO,10 se- 1,Roma,2005-04-24,https://www.fidal.it/atleta/GAETA-Cristian/gKiRkpufcWQ%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
30:36.96,,CHICCO Davide,1973,SM,GINNASTICA COMENSE 1872,2 se- 2,Brescia,2005-05-07,https://www.fidal.it/atleta/CHICCO-Davide/dqiRkpejb2w%3D,https://www.fidal.it/societa/GINNASTICA-COMENSE-1872/CO013
30:40.25,,ALESSANDRI Alessandro,1970,SM35,A.S. ATLETICA 85 FAENZA,12 se- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/ALESSANDRI-Alessandro/eqiRkpKibmk%3D,https://www.fidal.it/societa/A-S--ATLETICA-85-FAENZA/RA094
30:40.35,,BARTOLETTI STELLA Marco,1978,SM,C.S. AERONAUTICA MILITARE,12 su- 1,Vigna Di Valle,2005-05-22,https://www.fidal.it/atleta/BARTOLETTI-STELLA-Marco/eqiRkpSlaGk%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
30:41.4,,RICCI Gianluca,1974,SM,MONTEMILETTO TEAM RUNNERS,2 se- 2,Avellino,2005-04-24,https://www.fidal.it/atleta/RICCI-Gianluca/gKiRlJqkbWk%3D,https://www.fidal.it/societa/MONTEMILETTO-TEAM-RUNNERS/AV011
30:43.41,,MEUCCI Daniele,1985,PM,C.S. ESERCITO,14 su- 1,Erfurt,2005-07-15,https://www.fidal.it/atleta/MEUCCI-Daniele/faiRm5eob2s%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
30:45.6,,ROSA Luca,1977,SM,LIB. POL. AMAT. ATL. BN,3 se- 2,Avellino,2005-04-24,https://www.fidal.it/atleta/ROSA-Luca/g6iRkpKhcGY%3D,https://www.fidal.it/societa/LIB--POL--AMAT--ATL--BN/BN026
30:49.1,,RUTIGLIANO Pasquale roberto,1978,SM,C.S. ESERCITO,1 se- 2,Roma,2005-04-24,https://www.fidal.it/atleta/RUTIGLIANO-Pasquale-roberto/hKiRk5OnbGg%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
30:49.6,,SIMIONATO Federico,1979,SM,C.S. AERONAUTICA MILITARE,11 se- 1,Roma,2005-04-24,https://www.fidal.it/atleta/SIMIONATO-Federico/dK6Rk5qicWs%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
30:50.88,,BORGHESI Gianluca,1978,SM,A.S. ATLETICA 85 FAENZA,13 se- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/BORGHESI-Gianluca/eqiRkpWlcGw%3D,https://www.fidal.it/societa/A-S--ATLETICA-85-FAENZA/RA094
30:53.37,,ZANELLA Simone,1977,SM,ATLETICA BRUGNERA,3 su- 1,Treviso,2005-04-23,https://www.fidal.it/atleta/ZANELLA-Simone/eKiRlZKiaGM%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA/PN039
30:54.05,,CUGUSI Stefano,1984,PM,C.U.S. PAVIA,14 se- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/CUGUSI-Stefano/dqiRlpSoaWU%3D,https://www.fidal.it/societa/C-U-S--PAVIA/PV108
30:56.0,,SARDELLA Vito,1974,SM,BRUNI PUBBL. ATL. VOMANO,4 se- 2,Osimo,2005-04-24,https://www.fidal.it/atleta/SARDELLA-Vito/hKiRkpKjbWU%3D,https://www.fidal.it/societa/BRUNI-PUBBL--ATL--VOMANO/TE049
31:00.14,,CALDIROLI Fabio,1969,SM35,CALCESTRUZZI CORRADINI EXCELS.,15 se- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/CALDIROLI-Fabio/dqiRlJulamw%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106
31:02.06,,BALDINI Marco,1968,SM35,CALCESTRUZZI CORRADINI EXCELS.,16 se- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/BALDINI-Marco/eqiRkpKhbWc%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106
31:04.3,,SANSONE Massimiliano,1985,PM,ACSI CAMPIDOGLIO PALATINO,2 se- 2,Roma,2005-04-24,https://www.fidal.it/atleta/SANSONE-Massimiliano/f6iRl5eiaWg%3D,https://www.fidal.it/societa/ACSI-CAMPIDOGLIO-PALATINO/RM046
31:04.5,,DEMATTEIS Martin,1986,JM,A.S.D.PODISTICA VALLE VARAITA,1 su- 1,Novara,2005-04-24,https://www.fidal.it/atleta/DEMATTEIS-Martin/dKyRk5ihbWo%3D,https://www.fidal.it/societa/A-S-D-PODISTICA-VALLE-VARAITA/CN007
31:05.6,,AUCIELLO Giovanni,1980,SM,C.S. ESERCITO,12 se- 1,Roma,2005-04-24,https://www.fidal.it/atleta/AUCIELLO-Giovanni/hKiRkpWlaGY%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
31:06.14,,CENEDESE Cristian,1973,SM,ATLETICA UDINESE MALIGNANI,4 su- 1,Treviso,2005-04-23,https://www.fidal.it/atleta/CENEDESE-Cristian/eKiRkpilcWc%3D,https://www.fidal.it/societa/ATLETICA-UDINESE-MALIGNANI/UD030
31:09.1,,DEMATTEIS Bernard,1986,JM,A.S.D.PODISTICA VALLE VARAITA,2 su- 1,Novara,2005-04-24,https://www.fidal.it/atleta/DEMATTEIS-Bernard/dKyRk5ihbWk%3D,https://www.fidal.it/societa/A-S-D-PODISTICA-VALLE-VARAITA/CN007
31:10.0,,PALLOTTA Gilberto,1975,SM,ATL. RECANATI ENERGIA +,5 se- 2,Osimo,2005-04-24,https://www.fidal.it/atleta/PALLOTTA-Gilberto/e6iRkpKnbWQ%3D,https://www.fidal.it/societa/ATL--RECANATI-ENERGIA-+/MC007
31:11.5,,CARELLA Giuseppe,1971,SM,ATL GONNESA,2 se- 1,Sanluri,2005-04-24,https://www.fidal.it/atleta/CARELLA-Giuseppe/gaiRkpWobGY%3D,https://www.fidal.it/societa/ATL-GONNESA/CA069
31:13.71,,PERENCIN Emanuele,1971,SM,ATLETICA BRUGNERA,5 su- 1,Treviso,2005-04-23,https://www.fidal.it/atleta/PERENCIN-Emanuele/eayRkpqfbGY%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA/PN039
31:15.3,,CAPOTOSTI Marcello,1968,SM35,VIOLETTACLUB,1 su- 1,Sellia Marina,2005-04-24,https://www.fidal.it/atleta/CAPOTOSTI-Marcello/h6iRkpWfbGg%3D,https://www.fidal.it/societa/VIOLETTACLUB/CZ234
31:18.08,,ZORDAN Andrea,1983,PM,ATLETICA BRUGNERA,6 su- 1,Treviso,2005-04-23,https://www.fidal.it/atleta/ZORDAN-Andrea/eKiRk5qlbGw%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA/PN039
31:19.97,,SANNA Mirko,1973,SM,CALCESTRUZZI CORRADINI EXCELS.,17 se- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/SANNA-Mirko/eKiRlJKncGo%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106
31:19.99,,LICEN PORRO Giacomo,1974,SM,ATLETICA GORIZIA FRIULCASSA,7 su- 1,Treviso,2005-04-23,https://www.fidal.it/atleta/LICEN-PORRO-Giacomo/eauRkpmgcGg%3D,https://www.fidal.it/societa/ATLETICA-GORIZIA-FRIULCASSA/GO050
31:20.2,,PRANDI Mario,1971,SM,ASGP A.T.P. TORINO MARATONA,3 su- 1,Novara,2005-04-24,https://www.fidal.it/atleta/PRANDI-Mario/dKiRkpukaGo%3D,https://www.fidal.it/societa/ASGP-A-T-P--TORINO-MARATONA/TO133
31:21.33,,DA COL Manuel,1982,SM,ATL.INTERLOZZO,8 su- 1,Treviso,2005-04-23,https://www.fidal.it/atleta/DA-COL-Manuel/eKmRlJKlcWc%3D,https://www.fidal.it/societa/ATL-INTERLOZZO/BL015
31:23.85,,ROMANO Edoardo,1971,SM,CALCESTRUZZI CORRADINI EXCELS.,18 se- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/ROMANO-Edoardo/eqiRkpKhb2w%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106
31:24.08,,RUFFONI Alessandro,1985,PM,G.S. C.S.I. MORBEGNO,3 se- 2,Brescia,2005-05-07,https://www.fidal.it/atleta/RUFFONI-Alessandro/dqiRlpiha2s%3D,https://www.fidal.it/societa/G-S--C-S-I--MORBEGNO/SO114
31:27.5,,GUERRINI Alessandro,1983,PM,COLLEFERRO ATLETICA,13 se- 1,Roma,2005-04-24,https://www.fidal.it/atleta/GUERRINI-Alessandro/f6iRlpikb2w%3D,https://www.fidal.it/societa/COLLEFERRO-ATLETICA/RS012
31:27.5,,SOPINI Roberto,1968,SM35,ATL. C.S.S.R. BRESCIA,1 su- 1,Brescia,2005-09-21,https://www.fidal.it/atleta/SOPINI-Roberto/dqiRkpSkcGk%3D,https://www.fidal.it/societa/ATL--C-S-S-R--BRESCIA/BS284
31:27.86,,BORONI Davide,1979,SM,ATL. C.S.S.R. BRESCIA,4 se- 2,Brescia,2005-05-07,https://www.fidal.it/atleta/BORONI-Davide/dqiRk5SibGc%3D,https://www.fidal.it/societa/ATL--C-S-S-R--BRESCIA/BS284
31:29.12,,GUIDETTI Luigi,1975,SM,CALCESTRUZZI CORRADINI EXCELS.,19 se- 1,Rubiera,2005-04-17,https://www.fidal.it/atleta/GUIDETTI-Luigi/eqiRkpKkb2g%3D,https://www.fidal.it/societa/CALCESTRUZZI-CORRADINI-EXCELS-/RE106
31:31.6,,POZZEBON Ivano,1972,SM,RUNNER TEAM 99 SBV,4 su- 1,Novara,2005-04-24,https://www.fidal.it/atleta/POZZEBON-Ivano/dK6RkpuibWY%3D,https://www.fidal.it/societa/RUNNER-TEAM-99-SBV/TO185
31:32.52,,BAGGIA Riccardo,1971,SM,ATL.  VALLI DI NON E SOLE,2 se- 1,Castelvecchio,2005-07-09,https://www.fidal.it/atleta/BAGGIA-Riccardo/d6iRkpOncGc%3D,https://www.fidal.it/societa/ATL--VALLI-DI-NON-E-SOLE/TN102
31:33.40,,TAGLIABUE Claudio,1968,SM35,ATL. C.S.S.R. BRESCIA,5 se- 2,Brescia,2005-05-07,https://www.fidal.it/atleta/TAGLIABUE-Claudio/dqiRkpSkb2g%3D,https://www.fidal.it/societa/ATL--C-S-S-R--BRESCIA/BS284
31:34.92,,LEONARDI Massimo,1973,SM,CO-VER SPORTIVA MAPEI,3 se- 1,Castelvecchio,2005-07-09,https://www.fidal.it/atleta/LEONARDI-Massimo/d6iRkpKgbmc%3D,https://www.fidal.it/societa/CO-VER-SPORTIVA-MAPEI/VB014
31:38.8,,TAGLIABUE Claudio,1968,SM35,ATL. C.S.S.R. BRESCIA,2 su- 1,Brescia,2005-09-21,https://www.fidal.it/atleta/TAGLIABUE-Claudio/dqiRkpSkb2g%3D,https://www.fidal.it/societa/ATL--C-S-S-R--BRESCIA/BS284
31:40.07,,PINAMONTI Adriano,1966,SM35,ATL.  VALLI DI NON E SOLE,9 su- 1,Treviso,2005-04-23,https://www.fidal.it/atleta/PINAMONTI-Adriano/d6iRkpelaGo%3D,https://www.fidal.it/societa/ATL--VALLI-DI-NON-E-SOLE/TN102
31:40.6,,INTERRANTE Calogero,1966,SM35,VIOLETTACLUB,2 su- 1,Sellia Marina,2005-04-24,https://www.fidal.it/atleta/INTERRANTE-Calogero/h6iRlJOjaWU%3D,https://www.fidal.it/societa/VIOLETTACLUB/CZ234
31:42.85,,PINAMONTI Adriano,1966,SM35,ATL.  VALLI DI NON E SOLE,4 se- 1,Castelvecchio,2005-07-09,https://www.fidal.it/atleta/PINAMONTI-Adriano/d6iRkpelaGo%3D,https://www.fidal.it/societa/ATL--VALLI-DI-NON-E-SOLE/TN102
31:45.4,,LAZZARA Filippo,1973,SM,A.S.D. POL. OLIO CARLI SBM PA,2 su- 1,Ragusa,2005-04-23,https://www.fidal.it/atleta/LAZZARA-Filippo/h6iRkpKlcGs%3D,https://www.fidal.it/societa/A-S-D--POL--OLIO-CARLI-SBM-PA/PA033
31:45.6,,ROSSI Andrea,1975,SM,A.S.ATL. MEZZOFONDO RECANATI,7 se- 2,Osimo,2005-04-24,https://www.fidal.it/atleta/ROSSI-Andrea/gaiRkpqkaGY%3D,https://www.fidal.it/societa/A-S-ATL--MEZZOFONDO-RECANATI/MC034
31:45.98,,TOCCHIO Massimo,1983,PM,CUS FERRARA,1 se- 2,Rubiera,2005-04-17,https://www.fidal.it/atleta/TOCCHIO-Massimo/eqiRlJmfcWo%3D,https://www.fidal.it/societa/CUS-FERRARA/FE026
31:46.6,,TOSI Renato,1976,SM,ATL. C.S.S.R. BRESCIA,3 su- 1,Brescia,2005-09-21,https://www.fidal.it/atleta/TOSI-Renato/dqiRlpajbWQ%3D,https://www.fidal.it/societa/ATL--C-S-S-R--BRESCIA/BS284
31:51.38,,CAPRETTI Andrea,1973,SM,G.S. ORECCHIELLA GARFAGNANA,4 se- 1,Lucca,2005-04-24,https://www.fidal.it/atleta/CAPRETTI-Andrea/faiRlJikbmQ%3D,https://www.fidal.it/societa/G-S--ORECCHIELLA-GARFAGNANA/LU103
31:52.2,,NOTARANGELO Matteo pio,1977,SM,BRUNI PUBBL. ATL. VOMANO,8 se- 2,Osimo,2005-04-24,https://www.fidal.it/atleta/NOTARANGELO-Matteo-pio/hKiSmZWhamM%3D,https://www.fidal.it/societa/BRUNI-PUBBL--ATL--VOMANO/TE049
31:54.3,,GRAVANTE Antonio,1976,SM,A.S.ATL. MEZZOFONDO RECANATI,9 se- 2,Osimo,2005-04-24,https://www.fidal.it/atleta/GRAVANTE-Antonio/e6iRkpufaWg%3D,https://www.fidal.it/societa/A-S-ATL--MEZZOFONDO-RECANATI/MC034
31:54.4,,GRANDE Daniele,1971,SM,A.S.ATL. MEZZOFONDO RECANATI,10 se- 2,Osimo,2005-04-24,https://www.fidal.it/atleta/GRANDE-Daniele/gaiRkpKfcGs%3D,https://www.fidal.it/societa/A-S-ATL--MEZZOFONDO-RECANATI/MC034
31:58.0,,CONFORTI Lorenzo,1986,JM,TOSCANA ATLETICA,1 se- 4,Roma,2005-04-30,https://www.fidal.it/atleta/CONFORTI-Lorenzo/faiRm5OibWs%3D,https://www.fidal.it/societa/TOSCANA-ATLETICA/FI018
32:00.12,,BRESCIANI Giorgio,1966,SM35,ATL. C.S.S.R. BRESCIA,5 se- 1,Castelvecchio,2005-07-09,https://www.fidal.it/atleta/BRESCIANI-Giorgio/dqiRkpWmbmc%3D,https://www.fidal.it/societa/ATL--C-S-S-R--BRESCIA/BS284
32:01.7,,LUCARINI Federico,1978,SM,CUS CAMERINO,11 se- 2,Osimo,2005-04-24,https://www.fidal.it/atleta/LUCARINI-Federico/e6iRkpOfbGk%3D,https://www.fidal.it/societa/CUS-CAMERINO/MC001
32:01.8,,PAGLIACCI Romeo,1974,SM,ATL. ELPIDIENSE AVIS AIDO,12 se- 2,Osimo,2005-04-24,https://www.fidal.it/atleta/PAGLIACCI-Romeo/gaiRkpqjbWs%3D,https://www.fidal.it/societa/ATL--ELPIDIENSE-AVIS-AIDO/FM008
32:02.4,,MARROCCOLI Marcellino,1969,SM35,G.P. LEGNAMI PELLEGRINELLI,4 su- 1,Brescia,2005-09-21,https://www.fidal.it/atleta/MARROCCOLI-Marcellino/dqiRlJOhbWw%3D,https://www.fidal.it/societa/G-P--LEGNAMI-PELLEGRINELLI/BS274
32:07.57,,SANTANGELO Massimiliano,1974,SM,ATL. CASTELLO,5 se- 1,Lucca,2005-04-24,https://www.fidal.it/atleta/SANTANGELO-Massimiliano/faiRkpOocWU%3D,https://www.fidal.it/societa/ATL--CASTELLO/FI021
32:08.96,,BRUNNER Georg,1976,SM,SUEDTIROLER LAUFVEREIN AMATEUR,6 se- 1,Castelvecchio,2005-07-09,https://www.fidal.it/atleta/BRUNNER-Georg/iaiRkpKlb2c%3D,https://www.fidal.it/societa/SUEDTIROLER-LAUFVEREIN-AMATEUR/BZ067
