prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
13.66,,BARONIO Fabio,1986,JM,ATL. BERGAMO 1959,1 se- 1,Assago,2005-04-16,https://www.fidal.it/atleta/BARONIO-Fabio/dqmRlpincGo%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959/BG003
11.25,,CLERICI Matteo,1987,JM,A. ATL. ROVELLASCA,3 se- 1,Assago,2005-04-16,https://www.fidal.it/atleta/CLERICI-Matteo/dquRkpOkcGo%3D,https://www.fidal.it/societa/A--ATL--ROVELLASCA/CO023
11.09,,TAVOLA Dario,1987,JM,ATLETICA MILANESE,4 se- 1,Assago,2005-04-16,https://www.fidal.it/atleta/TAVOLA-Dario/dq2Rk5egaWY%3D,https://www.fidal.it/societa/ATLETICA-MILANESE/MI456
12.25,,VISMARA Alessio,1986,JM,O.S.A. SARONNO LIB.,2 se- 1,Assago,2005-04-16,https://www.fidal.it/atleta/VISMARA-Alessio/dqiRlZSib2M%3D,https://www.fidal.it/societa/O-S-A--SARONNO-LIB-/VA119
11.05,,FERRARESI Ivan,1986,JM,ATL.  CENTO TORRI PAVIA,5 se- 1,Assago,2005-04-16,https://www.fidal.it/atleta/FERRARESI-Ivan/dqiRlZajaWc%3D,https://www.fidal.it/societa/ATL--CENTO-TORRI-PAVIA/PV110
10.68,,FACCHI Luca,1987,JM,ATL. CHIARI 1964 LIB.,7 se- 1,Assago,2005-04-16,https://www.fidal.it/atleta/FACCHI-Luca/dqqRkpOhamo%3D,https://www.fidal.it/societa/ATL--CHIARI-1964-LIB-/BS318
10.85,,GALBUSSERA Federico,1987,JM,PRO SESTO ATL.,6 se- 1,Assago,2005-04-16,https://www.fidal.it/atleta/GALBUSSERA-Federico/dquRkpKjaWQ%3D,https://www.fidal.it/societa/PRO-SESTO-ATL-/MI089
12.48,,MINI Andrea,1987,JM,OLIMPUS SAN MARINO ATLETICA,1 se- 1,Citta Di Castello,2005-04-17,https://www.fidal.it/atleta/MINI-Andrea/eqiRlJekcWs%3D,https://www.fidal.it/societa/OLIMPUS-SAN-MARINO-ATLETICA/SM278
15.15,,MASSA Alessio,1986,JM,POL JOLAO IGLESIAS,1 fi- 1,Oristano,2005-04-23,https://www.fidal.it/atleta/MASSA-Alessio/iKiRk5OoaWg%3D,https://www.fidal.it/societa/POL-JOLAO-IGLESIAS/CA038
7.75,,BONO Fabrizio,1986,JM,ATL. ASI SUD LAZIO,2 fi- 1,Latina,2005-04-23,https://www.fidal.it/atleta/BONO-Fabrizio/f6iRl5iiamc%3D,https://www.fidal.it/societa/ATL--ASI-SUD-LAZIO/LT280
11.38,,GRAZIOSI Graziano,1987,JM,ATL. ASI SUD LAZIO,1 fi- 1,Latina,2005-04-23,https://www.fidal.it/atleta/GRAZIOSI-Graziano/f6iRmJmhcWs%3D,https://www.fidal.it/societa/ATL--ASI-SUD-LAZIO/LT280
11.7,,PISU Marco,1987,JM,SS ESPERIA,2 fi- 1,Oristano,2005-04-23,https://www.fidal.it/atleta/PISU-Marco/iKiSmJqjbmg%3D,https://www.fidal.it/societa/SS-ESPERIA/CA003
15.4,,MASSA Alessio,1986,JM,POL JOLAO IGLESIAS,1 fi- 1,Samassi,2005-04-25,https://www.fidal.it/atleta/MASSA-Alessio/iKiRk5OoaWg%3D,https://www.fidal.it/societa/POL-JOLAO-IGLESIAS/CA038
12.45,,MARABOTTO Elia,1987,JM,A.S.D. ATL. MONDOVI',1 su- 1,Mondovi,2005-04-25,https://www.fidal.it/atleta/MARABOTTO-Elia/dKyRk5mnaWw%3D,https://www.fidal.it/societa/A-S-D--ATL--MONDOVI-/CN005
15.52,,MASSA Alessio,1986,JM,POL JOLAO IGLESIAS,1 fi- 1,Carbonia,2005-04-30,https://www.fidal.it/atleta/MASSA-Alessio/iKiRk5OoaWg%3D,https://www.fidal.it/societa/POL-JOLAO-IGLESIAS/CA038
13.04,,MEOLA Flavio,1987,JM,ALTO LAZIO ATL.COLAVENE,1 qu- 1,Viterbo,2005-04-30,https://www.fidal.it/atleta/MEOLA-Flavio/f6iRmJela2U%3D,https://www.fidal.it/societa/ALTO-LAZIO-ATL-COLAVENE/VT501
12.15,,IZZO Manuel,1986,JM,A.S. ATL. MARANO,1 fi- 1,Marano,2005-04-30,https://www.fidal.it/atleta/IZZO-Manuel/gKiRlZOjbmU%3D,https://www.fidal.it/societa/A-S--ATL--MARANO/NA019
11.31,,CONDEMI Fabio,1987,JM,ATLETICA CENTRO ESTER NAPOLI,2 fi- 1,Marano,2005-04-30,https://www.fidal.it/atleta/CONDEMI-Fabio/gKiRlJqjbWw%3D,https://www.fidal.it/societa/ATLETICA-CENTRO-ESTER-NAPOLI/NA062
10.05,,LA VERSA Francesco,1986,JM,A.S. DIL. POL. V.S. AIRONI,1 se- 1,Palermo,2005-04-30,https://www.fidal.it/atleta/LA-VERSA-Francesco/h6iRlJWfaWY%3D,https://www.fidal.it/societa/A-S--DIL--POL--V-S--AIRONI/PA388
10.84,,MARCUCCI Riccardo,1987,JM,POL. ROMA XIII,1 fi- 1,Roma,2005-05-03,https://www.fidal.it/atleta/MARCUCCI-Riccardo/f6iRl5Oobmk%3D,https://www.fidal.it/societa/POL--ROMA-XIII/RM058
15.88,,CARLINI Marco,1986,JM,ATL.LIB. CITTA' DI CASTELLO,2 fi- 1,Viterbo,2005-05-08,https://www.fidal.it/atleta/CARLINI-Marco/fqiRk5Siamc%3D,https://www.fidal.it/societa/ATL-LIB--CITTA-DI-CASTELLO/PG021
17.76,,MANNUCCI Eugenio umberto,1986,JM,G.A. FIAMME GIALLE,1 fi- 1,Viterbo,2005-05-08,https://www.fidal.it/atleta/MANNUCCI-Eugenio-umberto/f6iRlpWjcGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
12.94,,MEOLA Flavio,1987,JM,ALTO LAZIO ATL.COLAVENE,3 fi- 1,Viterbo,2005-05-08,https://www.fidal.it/atleta/MEOLA-Flavio/f6iRmJela2U%3D,https://www.fidal.it/societa/ALTO-LAZIO-ATL-COLAVENE/VT501
11.82,,REVOLON Giacomo,1987,JM,ATLETICA STRONESE XELION,1 fi- 1,Asti,2005-05-17,https://www.fidal.it/atleta/REVOLON-Giacomo/dKAAARk5ikcWY%3D,https://www.fidal.it/societa/ATLETICA-STRONESE-XELION/VC019
8.57,,GUALTIERI Claudio,1987,JM,S.S. VITTORIO ALFIERI ASTI,17 fi- 1,Asti,2005-05-17,https://www.fidal.it/atleta/GUALTIERI-Claudio/dKuRk5alamw%3D,https://www.fidal.it/societa/S-S--VITTORIO-ALFIERI-ASTI/AT001
