punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
902,179.2,2:59.20,e,D'ALBERTO Arianna,2000,AF,ANA ATL.FELTRE,4 se- 3,Ancona,2017-02-12,https://www.fidal.it/atleta/D-ALBERTO-Arianna/eKmRlJWmaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
872,152.5,2:32.50,e,DAL SASSO Alberto,1998,AM,ANA ATL.FELTRE,3 se- 4,Ancona,2015-02-15,https://www.fidal.it/atleta/DAL-SASSO-Alberto/eKmRlJWfbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
841,184.75,3:04.75,e,D'ALBERTO Arianna,2000,AF,ANA ATL.FELTRE,1 se- 2,Ancona,2016-02-14,https://www.fidal.it/atleta/D-ALBERTO-Arianna/eKmRlJWmaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
831,154.54,2:34.54,e,COSTA Edgard,1999,AM,ANA ATL.FELTRE,1 se- 2,Ancona,2016-02-14,https://www.fidal.it/atleta/COSTA-Edgard/eKmRlJSjbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
727,160.09,2:40.09,e,ROSSA Matteo,1998,AM,ANA ATL.FELTRE,6 se- 4,Ancona,2015-02-15,https://www.fidal.it/atleta/ROSSA-Matteo/eKmRlJWoamo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
726,160.14,2:40.14,e,BONAN Marco,2000,AM,ANA ATL.FELTRE,6 se- 1,Ancona,2017-02-12,https://www.fidal.it/atleta/BONAN-Marco/eKmRlJShbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
702,161.47,2:41.47,e,BONAN Marco,2000,AM,ANA ATL.FELTRE,6 se- 1,Ancona,2016-02-14,https://www.fidal.it/atleta/BONAN-Marco/eKmRlJShbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
684,162.49,2:42.49,e,COSTA Edgard,1999,AM,ANA ATL.FELTRE,3 se- 1,Ancona,2015-02-15,https://www.fidal.it/atleta/COSTA-Edgard/eKmRlJSjbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
678,162.81,2:42.81,e,DAL SASSO Alberto,1998,AM,ANA ATL.FELTRE,10 se- 3,Ancona,2014-02-16,https://www.fidal.it/atleta/DAL-SASSO-Alberto/eKmRlJWfbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
602,208.66,3:28.66,e,MENEGAZZO Silvia,2007,CF,ANA ATL.FELTRE,6 se- 2,Padova,2022-02-20,https://www.fidal.it/atleta/MENEGAZZO-Silvia/eKmRlJeocGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
553,214.15,3:33.9,m,TONIN Francesca,1994,CF,ANA ATL.FELTRE,7 se- 1,Padova,2009-02-22,https://www.fidal.it/atleta/TONIN-Francesca/eKmRlJOmbWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
553,214.15,3:33.9,m,NICOLETTO Giada,1994,CF,ANA ATL.FELTRE,8 se- 1,Padova,2009-02-22,https://www.fidal.it/atleta/NICOLETTO-Giada/eKmRlJSjaWM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
476,175.32,2:55.32,e,BELLUS Riccardo,2008,CM,ANA ATL.FELTRE,8 se- 1,Padova,2023-02-19,https://www.fidal.it/atleta/BELLUS-Riccardo/eKmRlJekamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
456,225.75,3:45.75,e,DE RIZ Silvia,2008,CF,ANA ATL.FELTRE,8 se- 3,Padova,2022-02-20,https://www.fidal.it/atleta/DE-RIZ-Silvia/eKmRlJmgaWk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
408,180.14,3:00.14,e,BELLUS Riccardo,2008,AM,ANA ATL.FELTRE,1 se- 2,Padova,2024-02-04,https://www.fidal.it/atleta/BELLUS-Riccardo/eKmRlJekamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
385,181.83,3:01.83,e,DALLA CORTE Matteo,2001,SM,ANA ATL.FELTRE,3 se- 1,Padova,2024-02-04,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
343,185.05,3:04.8,m,LIRA Riccardo,1995,CM,ANA ATL.FELTRE,8 se- 1,Padova,2009-02-22,https://www.fidal.it/atleta/LIRA-Riccardo/eKmRlJOja2g%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
314,245.23,4:05.23,e,D'INCAU Alessia,2008,CF,ANA ATL.FELTRE,8 se- 4,Padova,2022-02-20,https://www.fidal.it/atleta/D-INCAU-Alessia/eKmRlJmhaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
303,188.35,3:08.1,m,SCOPEL Luca,1994,CM,ANA ATL.FELTRE,10 se- 1,Padova,2009-02-22,https://www.fidal.it/atleta/SCOPEL-Luca/eKmRlJOmbWk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
294,189.11,3:09.11,e,SAADAOUI Omar,2008,CM,ANA ATL.FELTRE,8 se- 2,Padova,2023-02-19,https://www.fidal.it/atleta/SAADAOUI-Omar/eKmRlJimbWU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
283,190.07,3:10.07,e,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,7 se- 1,Padova,2022-02-13,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
249,193.21,3:13.21,e,PETITTO Leonardo,2008,AM,ANA ATL.FELTRE,3 se- 2,Padova,2024-02-04,https://www.fidal.it/atleta/PETITTO-Leonardo/eKmRlJijbmQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
